32.1,53.4,29.9,17.4,6.44,200,14,19,39
32,53.9,29.9,17.6,6.45,200,14,20,40
31.8,53.7,29.9,17.5,6.4,200,14,19,39
32,51.4,29.8,17.5,6.47,199,14,19,39
31.9,48.4,29.7,17.5,6.41,197,14,19,39
32.1,50.4,29.6,17.5,6.48,193,13,19,38
31.8,49.9,29.6,17.5,6.46,191,13,19,38
31.2,53.4,29.5,17.3,6.45,191,13,19,38
30.8,54.4,29.2,17.3,6.44,191,13,18,37
30.9,52.7,29.1,17.3,6.44,184,13,18,37
30.7,53,29,17.2,6.4,184,13,18,37
30.4,52.9,28.9,17.2,6.41,184,13,18,37
29.8,55.5,28.7,17.1,6.42,181,12,18,36
29.6,56.4,28.6,17.1,6.42,183,13,18,36
29.4,57.8,28.5,17.1,6.48,183,13,18,36
29.2,58.8,28.5,17,6.46,181,12,18,36
29,59.9,28.4,17.1,6.47,180,12,18,36
28.8,61.1,28.4,17,6.47,181,12,18,36
28.6,61.8,28.3,16.9,6.43,181,13,18,36
28.6,62.4,28.3,16.8,6.48,183,13,18,36
28.5,61.2,28.2,16.9,6.45,181,12,18,36
28.4,61.7,28.2,16.9,6.48,181,12,18,36
28.4,61,28.1,16.9,6.47,183,12,18,36
28.4,60,28.1,16.8,6.42,184,12,18,36
28.3,60.6,28.1,17,6.45,184,12,18,36
28.2,60.4,28,16.9,6.47,184,13,18,36
28.3,59.6,28,16.9,6.46,183,13,18,36
28.2,59.6,28,16.9,6.41,184,13,18,36
28.1,59.8,28,17,6.46,184,13,18,36
28.1,60.4,27.9,16.9,6.39,182,13,18,36
28,61,27.9,16.8,6.42,181,12,18,36
27.9,62.1,27.8,16.9,6.37,183,12,18,36
27.8,63.1,27.8,16.8,6.34,181,13,18,36
27.8,63.9,27.8,16.8,6.44,183,13,18,36
27.7,64.6,27.8,16.9,6.44,183,13,18,36
27.6,65.7,27.8,16.7,6.44,183,13,18,36
27.6,66.4,27.7,16.8,6.44,181,13,18,36
27.5,67.5,27.7,16.8,6.44,181,13,18,36
27.4,68.2,27.7,16.7,6.44,181,13,18,36
